HQS 2,DQBDD 1.1
305.3322211,900
900,13.15515468
900,19.75431182
0.122179304,0.129267873
900,19.74131622
900,21.0816591
0.182462241,0.193232409
0.154459196,0.161194391
900,12.90487307
900,21.15789769
4.769550489,900
0.454618552,0.685623905
0.514672535,0.513192561
51.57618588,0.501545308
1.271292059,1.366036054
350.6309189,0.513431359
0.30210536,0.473489539
1.651173148,1.36998019
0.162141634,0.337027624
0.102340161,0.345230338
0.186214761,0.337012468
0.238173799,0.32130288
1.05882293,0.985841675
0.694735279,0.245298502
4.805607143,1.369819952
1.967655712,0.881132651
4.001001345,1.55424208
0.366390682,1.049769065
1.32705212,0.453397894
0.766743684,0.613508939
0.062144181,0.069100556
900,1.264908322
0.338301797,0.709314192
2.535947729,0.993419483
28.66742905,29.2944598
18.65662466,19.36470545
0.398231113,1.089609866
0.750607214,1.048963953
18.57164106,19.32046591
0.366437032,0.961746175
48.95338337,50.17816098
0.370902117,0.947697255
1.042880075,1.357637617
28.45836936,28.99048525
0.053949132,0.056983891
0.038151664,0.056913065
0.050047213,0.056916315
0.062174704,0.068777993
0.310261846,0.065057052
0.502446341,900
109.7544837,900
435.4742241,900
900,44.43393568
97.91542424,9.203460795
54.09401398,14.01520302
7.34345769,32.16479735
900,58.28028108
900,26.29251506
900,45.34944654
900,577.7924279
900,105.0993195
900,774.0781855
7.135277922,21.30096181
4.785731491,7.802835603
2.84021397,26.82902167
6.614900942,25.3398901
7.415711162,76.14974289
5.513620651,6.688086782
3.888572665,56.27054951
59.77875733,29.33875437
8.228200682,11.68638125
13.37998565,31.41227908
24.74045287,101.3523934
8.380460607,84.14301977
7.291669655,151.1249356
8.460411343,12.53150139
18.67602037,159.8236616
8.07214614,23.53816656
47.63761609,29.73880514
16.68242672,34.01001968
152.9439229,11.66482436
0.630554736,3.031457762
1.599331985,1.710283167
1.150968749,1.746412684
1.247098056,3.636272526
1.290867954,2.675458675
1.879565892,1.492226881
2.359828261,11.23404291
1.759351817,1.782602519
2.011438713,2.154933382
4.693484892,4.232339659
5.546218598,3.847855373
2.740115257,2.290768148
7.375705023,10.2365223
41.46483532,8.42298964
7.10720158,8.302879428
14.7250936,6.609901079
6.526368651,5.149390443
19.09997663,12.89858957
5.645639237,24.73525666
32.18996051,25.79997406
547.1393754,900
