HQS 2,DQBDD 1.1,,
32.73403075,12.28606004,,
900,13.32749427,,
900,12.12292677,,
900,21.23121927,,
900,21.07248069,,
900,13.44810515,,
900,13.25679038,,
900,13.19599816,,
900,15.55865015,,
900,27.75341331,,
900,6.54405737,,
900,13.19663692,,
900,13.19264841,,
900,12.86821819,,
900,12.8607662,,
900,30.64990238,,
900,19.73277507,,
900,19.74516096,,
0.125577831,0.13818943,,
900,21.57604278,,
900,21.76956013,,
900,20.25771157,,
900,9.845858397,,
900,13.69287395,,
900,21.54609049,,
0.129810688,0.142371371,,
0.129927376,0.13471207,,
900,0.330703241,,
900,15.37500671,,
900,30.74101392,,
900,15.60021238,,
900,16.55069936,,
900,30.50914605,,
900,8.844967753,,
900,8.338560229,,
900,14.38746647,,
900,9.929674031,,
900,9.718040375,,
900,19.70861997,,
900,19.61276355,,
0.125832091,0.134977493,,
900,21.06604273,,
900,21.00110517,,
0.12598918,0.138811746,,
900,28.3717284,,
0.141441275,0.154504902,,
900,32.36969458,,
900,21.56267205,,
0.129637764,0.138581767,,
0.125605005,0.138544982,,
0.157812152,0.166486423,,
900,18.71631988,,
0.15422818,0.166586322,,
900,151.1417884,,
900,19.7049603,,
0.153988991,0.162638054,,
900,18.53243363,,
900,18.60457299,,
900,13.71345449,,
900,15.37054269,,
900,12.80955771,,
900,19.67307448,,
900,19.65308546,,
0.125828144,0.134947876,,
900,20.98944714,,
900,20.98209985,,
0.129399598,0.134538689,,
900,28.49863613,,
0.141677358,0.154751845,,
900,32.26252529,,
900,224.2721699,,
900,86.7306252,,
900,191.0070481,,
900,30.61850396,,
900,30.18557209,,
900,29.86549657,,
900,31.34549859,,
900,32.03384866,,
900,29.34815788,,
900,25.47392782,,
900,26.0779119,,
900,25.69724625,,
900,150.600776,,
900,314.0901318,,
900,468.9364762,,
900,340.0032599,,
900,605.7984958,,
900,120.1302247,,
900,311.3705913,,
374.1576573,11.87763837,,
900,12.46707744,,
900,11.84936716,,
900,21.9795179,,
900,22.06753836,,
397.4467576,900,,
900,14.28142012,,
900,7.650889933,,
900,54.58285311,,
900,21.84285431,,
0.185994513,0.1952264,,
0.155069863,0.170235566,,
900,21.47461006,,
0.185236996,0.191468899,,
0.162243879,0.167458611,,
900,18.90932257,,
0.063339254,0.074272047,,
